,대구분,소구분,역명,위도,경도
45,지하철,우이신설선,솔밭공원,37.65603,127.013273
46,지하철,우이신설선,북한산우이,37.662909,127.012706
47,지하철,의정부선,탑석,37.733579,127.088704
48,지하철,의정부선,송산,37.737279,127.087159
49,지하철,의정부선,어룡,37.742802,127.085035
50,지하철,의정부선,곤제,37.750471,127.083715
51,지하철,의정부선,효자,37.754025,127.076902
52,지하철,의정부선,경기도청북부청사,37.75059,127.071495
53,지하철,의정부선,새말,37.748885,127.06362
54,지하철,의정부선,동오,37.745271,127.056947
55,지하철,의정부선,의정부중앙,37.743676,127.049565
56,지하철,의정부선,흥선,37.743302,127.037023
57,지하철,의정부선,의정부시청,37.739256,127.034781
58,지하철,의정부선,경전철의정부,37.737202,127.043257
59,지하철,의정부선,범골,37.728755,127.04353
60,지하철,의정부선,회룡,37.725006,127.047073
61,지하철,의정부선,발곡,37.727048,127.052803
62,지하철,에버라인선,전대.에버랜드,37.285342,127.219561
63,지하철,에버라인선,둔전,37.267051,127.21364
64,지하철,에버라인선,보평,37.258965,127.218457
65,지하철,에버라인선,고진,37.24484,127.214251
66,지하철,에버라인선,운동장.송담대,37.237845,127.209198
67,지하철,에버라인선,김량장,37.237247,127.198781
68,지하철,에버라인선,명지대,37.237964,127.190294
69,지하철,에버라인선,시청.용인대,37.239151,127.178406
70,지하철,에버라인선,삼가,37.242115,127.168075
71,지하철,에버라인선,초당,37.260752,127.159443
72,지하철,에버라인선,동백,37.269043,127.152716
